,Cezanne,Degas,Gauguin,Hassam,Matisse,Monet,Pissarro,Renoir,Sargent,VanGogh,accuracy,macro avg,weighted avg
precision,0.3114754098360656,0.3382352941176471,0.3333333333333333,0.23333333333333334,0.25892857142857145,0.3229166666666667,0.3711340206185567,0.3958333333333333,0.45454545454545453,0.34375,0.32222222222222224,0.33634854172129625,0.33634854172129625
recall,0.1919191919191919,0.23232323232323232,0.43434343434343436,0.42424242424242425,0.29292929292929293,0.31313131313131315,0.36363636363636365,0.3838383838383838,0.25252525252525254,0.3333333333333333,0.32222222222222224,0.32222222222222224,0.32222222222222224
f1-score,0.2375,0.2754491017964072,0.37719298245614036,0.3010752688172043,0.27488151658767773,0.31794871794871793,0.3673469387755102,0.38974358974358975,0.3246753246753247,0.3384615384615385,0.32222222222222224,0.32042749792621106,0.32042749792621106
support,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.32222222222222224,990.0,990.0
